context,question,answers
??????? ??? ????? ???? ?????? ??? ????? ??? ??? ?????? ?? ???? ????? ????? ???,v??????? ?? ???? ??? ????? ??? ?? ????? ???? ?????? ??? ????? ????? ???????? ???? ?? ???? ???,??????? ??? ????? ???? ?????? ??? ????? ??? ??? ?????? ?? ???? ????? ????? ???
????? ???? ?????? ?? ??? ????? ??? ????? ?? ?????? ?????? ???? ?? ???? ???,????? ?? ?????? ?????? ????? ?? ????? ???? ?????? ?? ??? ????? ????? ???????? ???? ?? ???? ???,????? ???? ?????? ?? ??? ????? ??? ????? ?? ?????? ?????? ???? ?? ???? ???
????? ?? ??? ??????? ?? ???? ?? ?????? ????? ????????? ???,????? ?? ??? ??????? ??? ????? ????? ?? ???? ?? ?????? ????? ????? ???????? ???? ?? ???? ???,????? ?? ??? ??????? ?? ???? ?? ?????? ????? ????????? ???
??????? ?? ???????? ?? ?????? ?? ???? ????? ??? ???? ?? ??????? ?? ??? ???,??????? ???? ???????? ?? ?????? ?? ???? ????? ??? ???? ?? ??????? ??? ????? ??????? ?? ???? ???,??????? ?? ???????? ?? ?????? ?? ???? ????? ??? ???? ?? ??????? ?? ??? ???
???????? ???? ??? ??????? ?? ????? ??? ?????? ?????? ??????? ?? ???? ???,???????? ???? ?????? ?????? ?????? ?? ??????? ??????? ???? ?? ?????? ???,???????? ???? ??? ??????? ?? ????? ??? ?????? ?????? ??????? ?? ???? ???
???? ???? ???? ???? ??????? ??? ?????? ??? ????? ?? ???? ???? ????? ?? ???? ???,???? ???? ??????? ?????? ??? ????? ?? ???? ???? ????? ????? ? ???? ???,???? ???? ???? ???? ??????? ??? ?????? ??? ????? ?? ???? ???? ????? ?? ???? ???
????? ?? ?????? ???????? ??? ???? ?? ????? ?????? ?? ???? ???,???? ?? ????? ?????? ?? ????? ?? ???????? ????? ???? ?? ???? ???,????? ?? ?????? ???????? ??? ???? ?? ????? ?????? ?? ???? ???
???? ?? ??? ??????? ??? ????? ?? ??????? ???? ???? ???? ?? ???? ???,????? ?? ??????? ????? ?? ???? ?? ??? ??????? ???? ????? ??? ????? ???,???? ?? ??? ??????? ??? ????? ?? ??????? ???? ???? ???? ?? ???? ???
???? ?? ??????? ??? ????? ?? ?????? ????? ??? ????? ????? ?? ???? ???,????? ?? ?????? ????? ?? ???? ?? ??????? ??? ????? ??????? ?? ???? ???,???? ?? ??????? ??? ????? ?? ?????? ????? ??? ????? ????? ?? ???? ???
???? ???? ??????? ?? ????? ??? ????? ?? ???? ?? ??? ?? ???? ???,???? ???? ??????? ?? ????? ?? ????? ????? ??? ?????? ?? ???? ???,???? ???? ??????? ?? ????? ??? ????? ?? ???? ?? ??? ?? ???? ???
???????? ???? ????? ????? ??? ???? ???? ????? ????????? ????? ???,???????? ???? ????? ????? ?? ????? ???? ????? ?? ???? ???,???????? ???? ????? ????? ??? ???? ???? ????? ????????? ????? ???
????? ???? ?????? ?? ????? ??? ?????? ??? ?? ??? ???? ??????? ?? ??? ???,????? ???? ?????? ?? ????? ??? ?????? ??? ?? ??????? ???? ??????? ?????? ?? ?????? ???,????? ???? ?????? ?? ????? ??? ?????? ??? ?? ??? ???? ??????? ?? ??? ???
????? ???? ????? ????? ?? ???????? ???? ????? ????? ?? ????? ??? ???,????? ???? ????? ?? ???????? ???? ????? ????? ?? ????? ????? ???? ?? ???? ???,????? ???? ????? ????? ?? ???????? ???? ????? ????? ?? ????? ??? ???
???? ???? ?????? ?????? ?? ????? ??? ?????? ???? ???? ?? ???? ???,?????? ?????? ?? ????? ??? ???? ???? ????? ?????? ???? ???? ?? ???? ???,"???? ???? ?????? ?????? ?? ????? ??? ?????? ???? ???? ?? ???? ??, ?????? ?? ???? ???????? ?? ????? ??? ???? ??? ???? ??????? ???"
